Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
TOSY,TOSY UltraLED S10,177.6,21.4,1.6,1.3,16.7,2.3,36.5,12.16,,,,22-169,26-Sep-22
All 4 Frisbee,Galaxy,178.5,21.5,2,1.5,18.9,1.3,45.5,7.84,,,,22-163,19-Sep-22
All 4 Frisbee,Asteroid,176.8,21.3,2.3,1.5,19.2,1.1,64.75,6.14,,,,22-162,19-Sep-22
Prodiscus,Talisman,175.1,21.1,1.7,1.2,17.3,1.9,37.75,8.07,,,,22-164,19-Sep-22
Trash Panda Disc Golf,Inner Core,176.8,21.3,1.9,1.5,19.4,1,56.5,5.23,,,,22-165,19-Sep-22
LB Sport Loisir,Orsus Compost,180.1,21.7,2.3,1.1,18.7,1.5,38.75,11.48,,,,22-159,12-Sep-22
Full Turn Discs,Beacon,181.8,21.9,1.7,1.2,18.8,1.5,52,10,,,,22-158,12-Sep-22
TOSY,TOSY UltraLED S7,176,21.2,1.9,1.5,16.9,2.1,38.5,10.23,,,,22-157,12-Sep-22
TOSY,TOSY Smart S7,176,21.2,2,1.5,16.9,2.1,38.5,11.02,,,,22-156,12-Sep-22
Goliath Discs,Enoch,174.3,21,1.9,1.2,17.4,1.8,33.75,11.7,,,,22-160,12-Sep-22
Birdie,Strike,176.8,21.3,1.8,1.2,17.7,1.8,30.5,8.98,,,,22-155,5-Sep-22
Taito Frisbeegolf,Tarkka (Basic Soft),176,21.2,2.1,1.6,19.2,1,59.75,7.73,,,,22-154,5-Sep-22
Premier Discs,War Pigeon,176,21.2,2,1.5,19.1,1.1,68.25,7.27,,,,22-149,5-Sep-22
Innova Champion Discs,Charger,175.1,21.1,1.6,1.2,16.4,2.3,28.5,8.98,,,,22-148,5-Sep-22
Innova Champion Discs,Jay,180.1,21.7,1.7,1.2,19,1.4,45.75,10,,,,22-147,5-Sep-22
Lone Star Disc,Lone Wolf,179.3,21.6,1.5,1.1,18.9,1.4,41.75,4.09,,,,22-152,5-Sep-22
Lone Star Disc,Copperhead,179.3,21.6,1.8,1.3,19.6,1,55.5,5.23,,,,22.151,5-Sep-22
Lone Star Disc,Super Dillo,195.6,23.6,2,1.2,22,0.8,88,5.1,,,,22-153,5-Sep-22
Lone Star Disc,Bluebonnet,175.1,21.1,2.1,1.3,18.9,1.1,65.5,5.8,,,,22-150,5-Sep-22
Pie Pan Discs,Grunt,174.3,21,1.7,1.2,17,2,32.25,12.05,,,,22-146,29-Aug-22
Taito Frisbeegolf,Varma,179.3,21.6,1.8,1.5,18.9,1.3,37.5,6.93,,,,22-143,29-Aug-22
Taito Frisbeegolf,Täsmä,175.1,21.1,1.5,1.1,17.2,1.9,32.25,9.2,,,,22-141,29-Aug-22
Taito Frisbeegolf,Tykki,175.1,21.1,1.5,1.1,16.4,2.3,27.25,10.45,,,,22-142,29-Aug-22
Doomsday Discs,Cataclysm,178.5,21.5,1.5,1.1,17.3,2.1,29.25,11.25,,,,22-144,29-Aug-22
Wild Discs,Addax V2,178.5,21.5,1.6,1.3,18.6,1.4,45.5,5.91,,,,22-145,29-Aug-22
Crown Me (Sunny Sporting Co. Ltd),Crossfit - Mid Range,176.8,21.3,1.7,1.3,19.2,1.1,50.25,8.18,,,,22-137,15-Aug-22
Crown Me (Sunny Sporting Co. Ltd),Morning - Mid Range,176.8,21.3,1.6,1.3,19.1,1.1,53.75,7.05,,,,22-138,15-Aug-22
Crown Me (Sunny Sporting Co. Ltd),Take Off - Putter,176.8,21.3,2.3,1.6,19.7,0.8,92.25,7.45,,,,22-139,15-Aug-22
GT Discs,Dynamo,174.3,21,1.7,1.2,16.3,2.4,28,9.89,,,,22-135,8-Aug-22
GT Discs,Blue Moon,177.6,21.4,1.9,1.5,19.3,1.1,64.5,4.89,,,,22-134,8-Aug-22
3C Discs,Shorebreak,176,21.2,2,1.6,19,1.1,67.5,1.7,,,,22-136,8-Aug-22
Reptilian Disc Golf,Komodo ,176,21.2,2,1.1,17.2,2,29.25,11.36,,,,22-133,1-Aug-22
Prodiscus,Origo,176,21.2,1.9,1.5,19.1,1.1,56.75,6.14,,,,22-131,1-Aug-22
Discraft,Athena,176.8,21.3,1.5,1.1,16.6,1.8,30,11.7,,,,22-132,1-Aug-22
Lone Star Disc,Tombstone,175.1,21.1,1.3,1.1,16.5,2.3,28.75,9.89,,,,22-129,25-Jul-22
Prodigy Disc,Stryder,180.9,21.8,2,1.5,19.2,1.3,48.75,7.61,,,,22-130,25-Jul-22
